id,date,address,long,lat
83,2013-04-30,新北市板橋區溪崑二街16巷8號二樓,121.428556,24.9919619
84,2013-04-30,新北市板橋區龍泉街73巷4之1號,121.456848,25.025331
85,2013-04-30,新北市板橋區龍泉街77號,121.456727,25.025204
86,2013-04-30,新北市板橋區龍泉街77之4號,121.456727,25.025204
87,2013-04-30,新北市板橋區龍泉街79巷3之3號,121.456869,25.025291
88,2013-04-30,新北市板橋區龍泉街85巷1之1號,121.4569,25.025047
89,2013-04-30,新北市板橋區龍泉街85巷4之2號,121.4571,25.024943
90,2013-04-30,新北市板橋區龍泉街85巷5之4號,121.457087,25.0251409
91,2013-04-30,新北市板橋區龍泉街87之4號,121.456927,25.0248829
92,2013-04-30,新北市板橋區龍泉街88之4號,121.456351,25.02521
93,2013-04-30,新北市板橋區龍泉街97巷3之1號,121.457239,25.0247329
94,2013-04-30,新北市板橋區龍泉街97巷5之2號,121.457335,25.0247809
95,2013-04-30,新北市板橋區龍泉街102之4號,121.456537,25.024811
96,2013-04-30,新北市淡水區樹梅坑24之1號九樓,121.470475,25.144361
97,2013-04-30,新北市淡水區樹梅坑27之1號四樓,121.451634,25.170378
98,2013-04-30,新北市淡水區樹梅坑40號十樓,121.470475,25.144361
99,2013-04-30,新北市新店區吉祥街11巷10號,121.4976708,24.9464353
100,2013-04-30,新北市新店區吉祥街13巷36號二樓,121.4991005,24.9453898
101,2013-04-30,新北市新店區吉祥街15巷14號二樓,121.4982344,24.9454653
102,2013-04-30,新北市新店區吉祥街15巷30號二樓,121.4988643,24.9454104
103,2013-04-30,新北市新店區吉祥街15巷40號,121.499258,24.9453761
104,2013-04-30,新北市新店區吉祥街7巷11號,121.4976708,24.9464353
105,2013-04-30,新北市新店區吉祥街7巷24號,121.4974211,24.9474338
106,2013-04-30,新北市新店區吉祥街7巷32號二樓,121.498943,24.9454035
107,2013-04-30,新北市新店區吉祥街7巷8號,121.4974211,24.9474338
108,2013-04-30,新北市新店區吉祥街9巷14號,121.4975665,24.9468848
109,2013-04-30,新北市新店區吉祥街9巷28號二樓,121.4987855,24.9454173
110,2013-04-30,新北市新店區吉祥街9巷32號二樓,121.498943,24.9454035
111,2013-04-30,新北市新店區吉祥街9巷6號二樓,121.494203,24.949016
112,2013-04-30,新北市新店區吉祥街9巷7號三樓,121.496906,24.94741
113,2013-04-30,新北市新店區安和路二段169巷17號,121.518015,24.97378
114,2013-04-30,新北市新店區自立街130巷2號四樓,121.536565,24.9804449
115,2013-04-30,新北市新店區玫瑰路57巷47號,121.4976685,24.9464519
116,2013-04-30,新北市新莊區中安街26號三樓,121.453196,25.04598
117,2013-04-30,新北市新莊區中安街28號四樓,121.453167,25.046043
118,2013-04-30,新北市新莊區中安街30號四樓,121.453121,25.046136
119,2013-04-30,新北市新莊區中安街32號五樓,121.45309,25.0462029
120,2013-04-30,新北市新莊區中安街34號二樓,121.453064,25.0462549
121,2013-04-30,新北市新莊區中和街9號二樓,121.44812,25.043315
122,2013-04-30,新北市新莊區中和街9號三樓,121.44812,25.043315
123,2013-04-30,新北市新莊區中和街9號五樓,121.44812,25.043315
124,2013-04-30,新北市新莊區中和街9號四樓,121.44812,25.043315
125,2013-04-30,新北市新莊區中華路二段3巷3號,121.453277,25.045539
126,2013-04-30,新北市新莊區中華路二段45巷7號四樓,121.45345,25.045383
127,2013-04-30,新北市新莊區民安西路75巷1號四樓,121.42743,25.019798
128,2013-04-30,新北市新莊區民安西路75巷8號四樓,121.427616,25.019539
129,2013-04-30,新北市新莊區民安西路75巷13號三樓,121.427897,25.019691
130,2013-04-30,新北市新莊區民安西路75巷15號五樓,121.427975,25.019677
131,2013-04-30,新北市新莊區民安西路75巷19號五樓,121.428119,25.019644
132,2013-04-30,新北市新莊區民安西路81巷11號,121.427751,25.019463
133,2013-04-30,新北市新莊區民安西路81巷11號四樓,121.427751,25.019463
134,2013-04-30,新北市新莊區幸福路64巷3弄8之4號,121.456817,25.050014
135,2013-04-30,新北市新莊區幸福路530號,121.455817,25.049417
136,2013-04-30,新北市新莊區幸福路70之1號,121.456989,25.049501
137,2013-04-30,新北市新莊區幸福路74之4號,121.456826,25.049498
138,2013-04-30,新北市新莊區幸福路76之4號,121.456739,25.0495
139,2013-04-30,新北市新莊區昌盛街76之2號,121.455988,25.049825
140,2013-04-30,新北市新莊區後港一路74號四樓,121.426936,25.026391
141,2013-04-30,新北市新莊區復興路二段103之4號,121.456069,25.044428
142,2013-04-30,新北市新莊區復興路二段107號,121.456208,25.0444439
143,2013-04-30,新北市新莊區復興路二段121號,121.456773,25.04445
144,2013-04-30,新北市新莊區復興路二段132號四樓,121.456918,25.04424
145,2013-04-30,新北市新莊區復興路二段132號五樓,121.456918,25.04424
146,2013-04-30,新北市樹林區三俊街126巷29號,121.4121845,25.0156625
147,2013-04-30,新北市樹林區三俊街131號,121.4170518,25.0154803
148,2013-04-30,新北市樹林區三俊街135巷22號,121.418612,25.016122
149,2013-04-30,新北市樹林區三俊街65巷36號,121.4133456,25.0169471
150,2013-04-30,新北市樹林區三俊街65巷38號,121.4133379,25.017251
151,2013-04-30,新北市樹林區三俊街71號,121.414674,25.015307
152,2013-04-30,新北市樹林區三龍街86號,121.4139975,25.0187059
153,2013-04-30,新北市樹林區太順街62巷1弄36號四樓,121.416246,24.979163
154,2013-04-30,新北市樹林區太順街62巷1弄36號五樓,121.4168939,24.9790269
155,2013-04-30,新北市樹林區太順街62巷3弄28號二樓,121.416473,24.979279
156,2013-04-30,新北市樹林區太順街62巷3弄32號五樓,121.416371,24.97923
157,2013-04-30,新北市樹林區太順街62巷3弄33號五樓,121.4162889,24.9790689
158,2013-04-30,新北市樹林區太順街62巷3弄36號二樓,121.416246,24.979163
159,2013-04-30,新北市樹林區太順街96巷10號,121.41603,24.979441
160,2013-04-30,新北市樹林區太順街96巷12號三樓,121.419849,24.980284
161,2013-04-30,新北市樹林區太順街96巷16弄14號四樓,121.416607,24.979605
162,2013-04-30,新北市樹林區太順街96巷16弄8號五樓,121.416379,24.979524
163,2013-04-30,新北市樹林區太順街96巷8號二樓,121.416263,24.978955
164,2013-04-30,新北市樹林區太順街96巷8號四樓,121.416263,24.978955
165,2013-04-30,新北市樹林區中正路213號,121.4561202,25.0176078
166,2013-04-30,新北市樹林區俊興街246號,121.417793,25.01602
167,2013-04-30,新北市樹林區俊興街250號,121.417818,25.0161089
168,2013-04-30,新北市樹林區俊興街254號,121.417846,25.0160429
169,2013-04-30,新北市蘆洲區三民路123號三樓,121.472186,25.086165
170,2013-04-30,新北市蘆洲區民族路151號四樓,121.479513,25.087881
171,2013-04-30,新北市蘆洲區民族路153巷1號三樓,121.479374,25.087841
172,2013-04-30,新北市蘆洲區民族路153巷3號四樓,121.479304,25.087822
173,2013-04-30,新北市蘆洲區民族路153巷7號二樓,121.4791719,25.087773
174,2013-04-30,新北市蘆洲區民族路153巷8號五樓,121.479099,25.087892
175,2013-04-30,新北市蘆洲區民族路416號三樓,121.474323,25.091687
176,2013-04-30,新北市蘆洲區民族路420號三樓,121.474236,25.091727
177,2013-04-30,新北市蘆洲區民族路420號五樓,121.4740658,25.0917306
178,2013-04-30,新北市蘆洲區民族路422巷33弄6號,121.47321,25.093699
179,2013-04-30,新北市蘆洲區民族路422巷33弄8號二樓,121.473135,25.093737
180,2013-04-30,新北市蘆洲區民族路426巷56號四樓,121.4771769,25.084534
181,2013-04-30,新北市蘆洲區民族路426巷58號三樓,121.477227,25.084559
182,2013-04-30,新北市蘆洲區民權路68巷1號二樓,121.475089,25.087489
183,2013-04-30,新北市蘆洲區民權路68巷5號二樓,121.475208,25.087605
184,2013-04-30,新北市蘆洲區民權路68巷7號四樓,121.475262,25.087652
185,2013-04-30,新北市蘆洲區民權路68巷9號三樓,121.475316,25.08771
186,2013-04-30,新北市蘆洲區成功路54號五樓,121.472958,25.0799359
187,2013-04-30,新北市蘆洲區信義路59巷9號二樓,121.4750767,25.0805738
188,2013-04-30,基隆市安樂區安樂路一段143號三樓,121.7329231,25.1280296
189,2013-04-30,基隆市安樂區安樂路一段145號四樓,121.732878,25.127962
190,2013-04-30,桃園縣八德市中華路265巷11之4號,121.2772409,24.981835
191,2013-04-30,桃園縣八德市中華路265巷1之1號,121.2767454,24.9821802
192,2013-04-30,桃園縣八德市中華路265巷1號,121.2767454,24.9821802
193,2013-04-30,桃園縣八德市中華路265巷9之4號,121.2771314,24.9818916
194,2013-04-30,桃園縣八德市廣隆街65巷19號,121.291458,24.956368
195,2013-04-30,桃園縣大溪鎮民權東路31巷5號四樓,121.2905527,24.8833602
196,2013-04-30,桃園縣大溪鎮民權東路31巷7號四樓,121.289651,24.8835799
197,2013-04-30,桃園縣大溪鎮民權東路31巷7號五樓,121.289651,24.8835799
198,2013-04-30,桃園縣大溪鎮民權東路31巷9弄1號四樓,121.294349,24.8808839
199,2013-04-30,桃園縣龍潭鄉中興路63巷14弄1衖10號四樓,121.2058152,24.8820696
200,2013-04-30,桃園縣龍潭鄉中興路63巷14弄1衖12號三樓,121.205861,24.8820786
201,2013-04-30,桃園縣龍潭鄉中興路63巷14弄1衖1號三樓,121.2057785,24.8819238
202,2013-04-30,桃園縣龍潭鄉中興路63巷14弄1衖4號四樓,121.2056779,24.8820426
203,2013-04-30,桃園縣中壢市中明路126號三樓,121.213694,24.958085
204,2013-04-30,桃園縣中壢市中明路126號四樓,121.213694,24.958085
205,2013-04-30,桃園縣中壢市中明路130號五樓,121.213565,24.958107
206,2013-04-30,桃園縣中壢市中豐路68號,121.219819,24.963175
207,2013-04-30,桃園縣中壢市五光三街54號三樓,121.210757,24.958687
208,2013-04-30,桃園縣中壢市五光三街54號五樓,121.210757,24.958687
209,2013-04-30,桃園縣中壢市五光三街54號四樓,121.210757,24.958687
210,2013-04-30,桃園縣中壢市五光三街56號二樓,121.210812,24.9587259
211,2013-04-30,桃園縣中壢市五光三街58巷10號五樓,121.211114,24.958535
212,2013-04-30,桃園縣中壢市五光三街58巷10號四樓,121.211114,24.958535
